Year,Position,Song Title,Artist,Loudness
1957,74,Don't Mean Nothing,Richard Marx,-10.615
1957,75,Songbird,Kenny G,-9.284
1957,76,Carrie,Europe,-7.112
1957,77,Don't Disturb This Groove,System,-8.597
1957,78,La Isla Bonita,Madonna,-4.736
1957,79,Bad,Michael Jackson,-3.947
1957,80,Sign 'O' The Times,Prince,-6.551
1957,81,Change Of Heart,Cyndi Lauper,-11.439
1957,82,Come Go With Me,Expose,-9.708
1957,83,Can't We Try,Dan Hill,-13.418
1957,84,To Be A Lover,Billy Idol,-5.347
1957,85,Mandolin Rain,Bruce Hornsby and The Range,-17.83
1957,86,Breakout,Swing Out Sister,-12.834
1957,87,Stand By Me,Ben E. King,-9.443
1957,88,"Tonight, Tonight, Tonight",Genesis,-14.405
1957,89,Someday,Glass Tiger,-11.175
1957,90,When Smokey Sings,ABC,-12.696
1957,91,Casanova,Levert,-3.927
1957,92,Rhythm Is Gonna Get You,Gloria Estefan and Miami Sound Machine,-8.616
1957,93,Rock Steady,Whispers,-7.665
1957,94,Wanted Dead Or Alive,Bon Jovi,-3.886
1957,95,Big Time,Peter Gabriel,-2.741
1957,96,The Finer Things,Steve Winwood,-7.031
1957,97,Let Me Be The One,Expose,-9.082
1957,98,Is This Love,Survivor,-8.946
1957,99,Diamonds,Herb Alpert,-10.997
1957,100,Point Of No Return,Expose,-9.411
1958,1,Big Love,Fleetwood Mac,-10.558
1958,2,Midnight Blue,Lou Gramm,-11.543
1958,3,Something So Strong,Crowded House,-13.156
1958,4,Heat Of The Night,Bryan Adams,-11.817
1958,5,Nothing's Gonna Change My Love For You,Glenn Medeiros,-15.257
1958,6,Brilliant Disguise,Bruce Springsteen,-12.438
1958,7,Just To See Her,Smokey Robinson,-15.473
1958,8,Who Will You Run Too,Heart,
1958,9,Respect Yourself,Bruce Willis,-12.76
1958,10,Cross My Broken Heart,Jets,-8.232
1958,11,Victory,Kool and The Gang,-16.541
1958,12,Don't Get Me Wrong,Pretenders,-6.264
1958,13,Doing It All For My Baby,Huey Lewis and The News,-6.143
1958,14,Right On Track,Breakfast Club,-10.044
1958,15,Ballerina Girl,Lionel Richie,-13.205
1958,16,Meet Me Half Way,Kenny Loggins,-13.005
1958,17,I've Been In Love Before,Cutting Crew,-13.02
1958,18,(You Gotta) Fight For Your Right (To Party),Beastie Boys,-4.242
1958,19,Funkytown,Pseudo Echo,
1958,20,Love You Down,Ready For The World,-6.898
1958,21,Little Things Mean A Lot,Kitty Kallen,-14.607
1958,22,Wanted,Perry Como,-11.214
1958,23,Hey There,Rosemary Clooney,-14.148
1958,24,Sh-Boom,Crew Cuts,-7.54
1958,25,Make Love To Me,Jo Stafford,-9.142
1958,26,Oh! My Pa-pa,Eddie Fisher,-9.927
1958,27,I Get So Lonely,Four Knights,-11.846
1958,28,Three Coins In The Fountain,Four Aces,-12.898
1958,29,Secret Love,Doris Day,-14.317
1958,30,Hernando's Hideaway,Archie Bleyer,-10.308
1958,31,Young At Heart,Frank Sinatra,-21.103
1958,32,This Ole House,Rosemary Clooney,-8.079
1958,33,I Need You Now,Eddie Fisher,-11.021
1958,34,Cross Over The Bridge,Patti Page,-9.976
1958,35,The Little Shoemaker,Gaylords,-13.305
1958,36,That's Amore,Dean Martin,-13.6
1958,37,The Happy Wanderer,Frank Weir,-18.035
1958,38,Answer Me My Love,Nat King Cole,-11.614
1958,39,Stranger In Paradise,Tony Bennett,-9.091
1958,40,If I Give My Heart To You,Doris Day,-15.627
1958,41,If You Love Me (Really Love Me),Kay Starr,-11.341
1958,42,Skokiaan,Ralph Marterie,
1958,43,Hold My Hand,Don Cornell,-17.376
1958,44,Changing Partners,Patti Page,-13.711
1958,45,Papa Loves Mambo,Perry Como,-10.07
1958,46,"Shake, Rattle And Roll",Bill Haley and His Comets,-11.237
1958,47,Rags To Riches,Tony Bennett,-9.399
1958,48,In The Chapel In The Moonlight,Kitty Kallen,-9.623
