track_id,track_name,artist_name,album_name,release_date,release_date_precision,loudness
0E29BKKGCJHcb7b9oIWgGB,Calling All Angels,Train,My Private Nation,2003-06-03,day,-5.368
0EGuSSpuu9wmHCtvb4PdLO,"Sit Still, Look Pretty",Daya,"Sit Still, Look Pretty",2016-10-07,day,-4.081
0EHR9OObFtjlhQB8wSt1m7,Mrs. Officer,"Lil Wayne, Bobby V., Kidd Kidd",Tha Carter III,2008-06-10,day,-5.068
0EQuu6hyNACWI7LT7N5pRv,U Should've Known Better,Monica,After The Storm,2003,year,-5.164
0EbnUc05YEKhZRKgbrZWpq,Sorry,Buckcherry,15,2006-04-11,day,-3.627
0ElpjZyX8YBiXuYcDC1Ci9,19 Somethin' - Greatest Hits Version,Mark Wills,Greatest Hits,2002-01-01,day,-5.165
0EoNeMPmXzndsf9lhMaABp,I Will Survive,Gloria Gaynor,Drag Racers Jukebox,2021-01-27,day,-6.738
0Eu5SrReZzaJX0NLKI8tQS,Bossy Featuring Too $hort (feat. Too $hort),"Kelis, Too $hort",Kelis Was Here,2006-08-22,day,-5.556
0FBeVAGy58YREuZK2rpRVm,"Pop Muzik - Nik Launay '79 12""","M, Robin Scott","New York, London, Paris, Munich",1979-01-01,day,-9.982
0FCgqHNdcbhGIEmU8r6ZF1,Got a Hold on Me,Christine McVie,Christine McVie,1984,year,-5.127
0FDzzruyVECATHXKHFs9eJ,A Sky Full of Stars,Coldplay,Ghost Stories,2014-05-19,day,-6.474
0FQ71Al0brWbN5UrZFEcZb,We Paid,"Lil Baby, 42 Dugg",Trending Now Volume 4,2020-09-11,day,-5.064
0FZ4Dmg8jJJAPJnvBIzD9z,ZEZE (feat. Travis Scott & Offset),"Travis Scott, Offset, Kodak Black",Dying to Live,2018-12-14,day,-5.788
0Fb8sdyNluLawg08N1zs48,You'll See,Madonna,Something to Remember,1995-11-17,day,-9.972
0FnGOiDAeLVXyexLgkKodz,She Works Hard For The Money,Donna Summer,Girl Power Hits,2021-01-29,day,-3.967
0FoB9BAV7B2Kv6NxOFZtSO,When You Close Your Eyes,Night Ranger,Midnight Madness,1983-01-01,day,-14.122
0G21yYKMZoHa30cYVi1iA8,Welcome To The Jungle,Guns N' Roses,Appetite For Destruction,1987-07-21,day,-4.485
0GMFC1osUTm2qKycgHdwWD,Keep Coming Back,Richard Marx,Greatest Hits,1997-01-01,day,-11.074
0GjEhVFGZW8afUYGChu3Rr,Dancing Queen,ABBA,Arrival,1976,year,-6.514
0GoeqtPC0Uyr9bCTTTnGzS,Be Careful,Cardi B,Gen Z Vibe,2021-06-11,day,-8.231
0H5uUQbT5AMFanuu5PaXfY,Count On Me,Jefferson Starship,The Complete Albums 1974-1984,2020-04-03,day,-14.908
0HJYzGavqzjiKMmm4F0UZv,Luv U Better,LL Cool J,10,2002-10-08,day,-3.9
0HPMybrubLvT9pWJWRrKUE,High School Dance,The Sylvers,Something Special (Expanded Edition),1976-11-09,day,-10.026
0HZUp8fm9fh1Mitqx4CIOr,Bottoms Up,Brantley Gilbert,Just As I Am,2014-01-01,day,-5.734
0HZhYMZOcUzZKSFwPOti6m,Jar of Hearts,Christina Perri,lovestrong.,2011-05-10,day,-6.142
0Hb2lKzzpKK4VxwER1fF25,It's My Turn,Diana Ross,To Love Again,1981-02-17,day,-10.221
0Hf654E7qDIHZsYrxdsfj0,Muskrat Love,Captain & Tennille,Greatest Hits,1977-01-01,day,-18.643
0HzjKCZmFhwcO2vnnHpj9q,Sara,Starship,Knee Deep In The Hoopla,1985-09-10,day,-5.675
0I1DJdLt9BKOb7GWmWxCjo,Fields Of Gold,Sting,Ten Summoner's Tales,1993-03-09,day,-11.917
0I3q5fE6wg7LIfHGngUTnV,Ms. Jackson,Outkast,Stankonia,2000-10-31,day,-5.946
